osm_id,osm_type,name,operator,street,city,state,zip,country,lat,lon,building,telecom,man_made,start_date,power,tags_raw,opening_year,opening_year_method,opening_year_confidence
751881301,node,CoreSite DC1,CoreSite,1275 K Street Northwest,,,,,38.9028879,-77.0291491,,data_center,,,,"{""addr:housenumber"": ""1275"", ""addr:street"": ""K Street Northwest"", ""clli"": ""WASHDC12"", ""name"": ""CoreSite DC1"", ""operator"": ""CoreSite"", ""operator:wikidata"": ""Q5170140"", ""source"": ""dcgis"", ""telecom"": ""data_center"", ""website"": ""https://www.coresite.com/data-center/dc1-washington-d-c""}",2002.0,baxtel:/data-center/coresite-dc1-1275-k-street-nw,medium
1825907839,node,Southwest Cyberport,,5021 Indian School Road Northeast,Albuquerque,NM,87110,,35.1032925,-106.5893487,,data_center,,,,"{""addr:city"": ""Albuquerque"", ""addr:housename"": ""Tech Commons Office Complex"", ""addr:housenumber"": ""5021"", ""addr:postcode"": ""87110"", ""addr:state"": ""NM"", ""addr:street"": ""Indian School Road Northeast"", ""addr:suite"": ""600"", ""name"": ""Southwest Cyberport"", ""phone"": ""+1-505-232-7975"", ""short_name"": ""SWCP"", ""telecom"": ""data_center"", ""website"": ""https://www.swcp.com/"", ""wheelchair"": ""yes""}",,not_found,none
2607827436,node,SDSU Computer Room,,,,,,,32.7750252,-117.070888,,data_center,,,,"{""name"": ""SDSU Computer Room"", ""telecom"": ""data_center""}",,not_found,none
3406467087,node,NocRoom Miami IT Services,,,,,,,25.7915453,-80.3177484,,data_center,,,,"{""check_date:currency:XBT"": ""2022-12-23"", ""currency:XBT"": ""yes"", ""name"": ""NocRoom Miami IT Services"", ""telecom"": ""data_center"", ""website"": ""https://nocroom.com""}",,not_found,none
3406476814,node,NocRoom Miami IT Services,,,,,,,25.6465617,-80.4234346,,data_center,,,,"{""check_date:currency:XBT"": ""2022-12-23"", ""currency:XBT"": ""yes"", ""name"": ""NocRoom Miami IT Services"", ""telecom"": ""data_center"", ""website"": ""https://nocroom.com""}",,not_found,none
3468203102,node,Center for Computation & Technology (CCT),,,,,,,30.407446,-91.1725454,,data_center,,,,"{""name"": ""Center for Computation & Technology (CCT)"", ""telecom"": ""data_center""}",,not_found,none
3732415309,node,The Pittock Internet Exchange,Alco Properties,921 Southwest Washington Street,Portland,OR,97205,,45.5214248,-122.680562,,data_center,,,,"{""addr:city"": ""Portland"", ""addr:housenumber"": ""921"", ""addr:postcode"": ""97205"", ""addr:state"": ""OR"", ""addr:street"": ""Southwest Washington Street"", ""addr:unit"": ""100"", ""name"": ""The Pittock Internet Exchange"", ""operator"": ""Alco Properties"", ""telecom"": ""data_center"", ""website"": ""http://www.pittock.com/""}",,not_found,none
4879481820,node,Google Fiber,Google,,,,,,33.7715677,-84.3668585,yes,data_center,,,,"{""building"": ""yes"", ""name"": ""Google Fiber"", ""operator"": ""Google"", ""operator:wikidata"": ""Q95"", ""operator:wikipedia"": ""en:Google"", ""telecom"": ""data_center""}",,not_found,none
5146323411,node,Open Computing Facility,,,,,,,37.8698521,-122.2598231,,data_center,,,,"{""description"": ""Computer lab providing services to UC Berkeley community"", ""name"": ""Open Computing Facility"", ""source"": ""local_knowledge"", ""telecom"": ""data_center"", ""website"": ""https://www.ocf.berkeley.edu/"", ""wheelchair"": ""yes"", ""wikidata"": ""Q7095985"", ""wikipedia"": ""en:Open Computing Facility""}",,not_found,none
5225685660,node,Lumos Networks,,,,,,,37.415688,-79.1427063,,data_center,,,,"{""name"": ""Lumos Networks"", ""telecom"": ""data_center""}",,not_found,none
