opening_year_method,n_facilities
not_found,1031
osm:start_date,17
baxtel:/data-center/digital-realty-loudoun-ashburn-campus,10
wikipedia_city:Quality Technology Services,10
baxtel:/data-center/digital-realty-silicon-valley-sjc10,8
baxtel:/data-center/digital-realty-new-york-ewr20,7
wikipedia_city:CyrusOne,7
baxtel:/data-center/flexential-portland-hillsboro-3,6
wikipedia_city:CoreSite,6
baxtel:/data-center/meta-sarpy-nebraska,5
wikipedia_table:Google,5
baxtel:/data-center/iron-mountain-phoenix,4
baxtel:/data-center/stack-portland-por03,4
wikidata:sparql_index,4
baxtel:/data-center/sabey-intergate-columbia,4
baxtel:/data-center/rowan-percheron,4
baxtel:/data-center/cyrusone-sterling-ix,4
baxtel:/data-center/amazon-iad-98,4
baxtel:/data-center/meta-gallatin-2,4
baxtel:/data-center/meta-eagle-2,3
baxtel:/data-center/sabey-intergate-west,3
baxtel:/data-center/sabey-intergate-east,3
baxtel:/data-center/prime-santa-clara-martin,3
baxtel:/data-center/ntt-sacramento-campus-ca1-ca2-ca3,3
baxtel:/data-center/cyrusone-san-antonio-sat1,3
baxtel:/data-center/microsoft-goodyear-campus,3
baxtel:/data-center/meta-huntsville-campus,3
baxtel:/data-center/centersquare-sterling-dc2,3
baxtel:/data-center/digital-realty-chicago-ord11,3
baxtel:/data-center/centersquare-ashburn-wdc1,3
baxtel:/data-center/verizon-wireless-branchburg,3
baxtel:/data-center/digital-realty-pdx11,2
baxtel:/data-center/element-critical-va1,2
baxtel:/data-center/liquid-web-phoenix,2
baxtel:/data-center/compugen-new-albany,2
baxtel:/data-center/equinix-secaucus-ny6,2
baxtel:/data-center/flexential-las-vegas-lone-mountain,2
baxtel:/data-center/coresite-reston-campus-va1,2
baxtel:/data-center/flexential-douglasville,2
baxtel:/data-center/prime-dallas-dfw01,2
baxtel:/data-center/equinix-ashburn-dc10,2
baxtel:/data-center/csquare-sfo4-b,2
baxtel:/data-center/cyrusone-austin-iii,2
baxtel:/data-center/lumen-austin-3-500-chicon,2
baxtel:/data-center/flexential-denver-arapahoe,2
baxtel:/data-center/flexential-dallas-synergy-park,2
baxtel:/data-center/lumen-mclean-1,2
baxtel:/data-center/digital-dallas-campus-in-richardson-digital-realty,2
baxtel:/data-center/flexential-charlotte-4,2
baxtel:/data-center/xai-colossus-1-25266b8b-dde9-4cd4-9e89-7e8a54c085d3,2
baxtel:/data-center/tierpoint-dallas-allen,2
wikipedia_city:Switch (company),2
baxtel:/data-center/talen-nautilus-cryptomine,2
wikipedia_city:Digital Realty,2
baxtel:/data-center/43780-digital-loudoun-plaza-bldg-h,2
baxtel:/data-center/iron-mountain-va-5,1
wikipedia:Aladdin (BlackRock),1
baxtel:/data-center/lincoln-rackhouse-silicon-heartland-innovation-park,1
baxtel:/data-center/lightedge-altoona-2,1
baxtel:/data-center/lightedge-altoona-1,1
baxtel:/data-center/iron-mountain-va-6,1
baxtel:/data-center/switch-las-vegas-9,1
baxtel:/data-center/lumen-austin-1-4207-smith-school,1
"wikipedia:Alpharetta, Georgia",1
baxtel:/data-center/iron-mountain-va-3,1
wikipedia:Infomart,1
baxtel:/data-center/iron-mountain-va-2,1
baxtel:/data-center/iron-mountain-scottsdale,1
wikipedia:Level 3 Communications,1
baxtel:/data-center/iron-mountain-chicago,1
baxtel:/data-center/iron-mountain-va-4,1
baxtel:/data-center/windstream-little-rock,1
baxtel:/data-center/hurricane-electric-fremont-2,1
baxtel:/data-center/lumen-norristown,1
baxtel:/data-center/marathon-digital-granbury-tx,1
baxtel:/data-center/lumen-sunnyvale-1,1
baxtel:/data-center/lumen-santa-clara,1
baxtel:/data-center/vantage-wa11,1
baxtel:/data-center/lumen-san-antonio-2,1
baxtel:/data-center/lumen-phoenix-1,1
baxtel:/data-center/vantage-wa12,1
baxtel:/data-center/walmart-colorado-springs,1
baxtel:/data-center/lumen-madison-1,1
baxtel:/data-center/lumen-dallas-6,1
baxtel:/data-center/lumen-dallas-1,1
baxtel:/data-center/lumen-cleveland-4000-chester,1
baxtel:/data-center/vantage-wa13,1
baxtel:/data-center/virginia-information-technologies-agency,1
baxtel:/data-center/ionic-digital-cedarvale,1
baxtel:/data-center/h5-phoenix,1
baxtel:/data-center/hurricane-electric-fremont-1,1
baxtel:/data-center/flexential-englewood,1
wikipedia:Lumen Technologies,1
baxtel:/data-center/flexential-phoenix-deer-valley,1
baxtel:/data-center/flexential-minneapolis,1
baxtel:/data-center/flexential-louisville-2-3-4,1
baxtel:/data-center/flexential-hillsboro-6,1
baxtel:/data-center/flexential-franklin-tn,1
baxtel:/data-center/flexential-east-louisville,1
baxtel:/data-center/h5-secaucus,1
baxtel:/data-center/flexential-downtown-salt-lake-delong,1
wikipedia_city:Indiana University Bloomington,1
wikipedia_city:United States Postal Service,1
baxtel:/data-center/flexential-dallas-plano,1
baxtel:/data-center/flexential-cool-springs,1
baxtel:/data-center/flexential-cincinnati-1-and-2,1
baxtel:/data-center/flexential-raleigh,1
baxtel:/data-center/flexential-richmond-1,1
baxtel:/data-center/flexential-salt-lake-fair-park,1
baxtel:/data-center/flexential-salt-lake-lindon,1
baxtel:/data-center/flexential-salt-lake-mill-creek,1
baxtel:/data-center/flexential-salt-lake-south-view,1
baxtel:/data-center/flexential-tampa-1-and-2,1
baxtel:/data-center/flexential-tampa-3,1
baxtel:/data-center/godaddy-gilbert-az,1
baxtel:/data-center/goldman-sachs-tokyo-hnd1,1
baxtel:/data-center/google-berkeley-county-south-carolina,1
baxtel:/data-center/google-denver-thorton,1
baxtel:/data-center/google-lockbourne-oh,1
baxtel:/data-center/google-the-dalles-oregon,1
baxtel:/data-center/h5-ashburn,1
baxtel:/data-center/h5-minneapolis,1
baxtel:/data-center/vantage-va13,1
baxtel:/data-center/vantage-va2-campus,1
baxtel:/data-center/vantage-tx22,1
baxtel:/data-center/vantage-va12,1
baxtel:/data-center/ovh-us-east-vint-hill,1
baxtel:/data-center/stack-portland-por02,1
baxtel:/data-center/stack-northern-virginia-nva05,1
baxtel:/data-center/stack-new-albany-nal01,1
baxtel:/data-center/stack-chicago-chi01,1
baxtel:/data-center/serverfarm-lax1,1
baxtel:/data-center/t5-colorado,1
baxtel:/data-center/sabey-intergate-quincy,1
baxtel:/data-center/telehouse-the-teleport,1
baxtel:/data-center/tierpoint-allentown-tekpark,1
baxtel:/data-center/sabey-intergate-ashburn-building-a,1
baxtel:/data-center/tierpoint-baltimore-bwi,1
baxtel:/data-center/tierpoint-charlotte-4,1
baxtel:/data-center/rackspace-somerset-nyc1,1
baxtel:/data-center/rackspace-richardson-dfw3,1
baxtel:/data-center/rackspace-belmont-nyc2,1
baxtel:/data-center/switch-texas-2,1
baxtel:/data-center/strategic-datasphere-alpharetta-georgia,1
baxtel:/data-center/switch-tahoe-reno-the-citadel-campus,1
baxtel:/data-center/switch-austin-the-rock,1
baxtel:/data-center/switch-las-vegas-7,1
baxtel:/data-center/switch-las-vegas-12,1
baxtel:/data-center/switch-las-vegas-11,1
baxtel:/data-center/switch-las-vegas-10,1
baxtel:/data-center/switch-edge-1,1
baxtel:/data-center/switch-las-vegas-core-campus,1
baxtel:/data-center/switch-austin-1-adc,1
baxtel:/data-center/stream-chicago-i,1
baxtel:/data-center/switch-300-dell-way,1
baxtel:/data-center/stream-san-antonio-ii,1
baxtel:/data-center/stream-phx-ii,1
baxtel:/data-center/stream-houston-woodlands,1
baxtel:/data-center/stream-dfw-iv,1
baxtel:/data-center/stream-chicago-ii,1
baxtel:/data-center/tierpoint-tulsa-state-farm,1
baxtel:/data-center/one-wilshire-building,1
baxtel:/data-center/switch-las-vegas-8,1
baxtel:/data-center/ntt-va8,1
baxtel:/data-center/microsoft-trp3-sat46,1
baxtel:/data-center/us-signal-or01-bend,1
