state,year,month,date,cdd,hdd
GA,2015,1,2015-01-01,0.0,678.0
GA,2015,2,2015-02-01,0.0,681.0
GA,2015,3,2015-03-01,0.0,276.0
GA,2015,4,2015-04-01,61.0,99.0
GA,2015,5,2015-05-01,233.0,28.0
GA,2015,6,2015-06-01,410.0,0.0
GA,2015,7,2015-07-01,495.0,0.0
GA,2015,8,2015-08-01,424.0,0.0
GA,2015,9,2015-09-01,258.0,18.0
GA,2015,10,2015-10-01,31.0,138.0
GA,2015,11,2015-11-01,20.0,249.0
GA,2015,12,2015-12-01,19.0,286.0
GA,2016,1,2016-01-01,0.0,698.0
GA,2016,2,2016-02-01,0.0,498.0
GA,2016,3,2016-03-01,24.0,235.0
GA,2016,4,2016-04-01,47.0,143.0
GA,2016,5,2016-05-01,187.0,47.0
GA,2016,6,2016-06-01,420.0,0.0
GA,2016,7,2016-07-01,530.0,0.0
GA,2016,8,2016-08-01,492.0,0.0
GA,2016,9,2016-09-01,393.0,2.0
GA,2016,10,2016-10-01,151.0,54.0
GA,2016,11,2016-11-01,15.0,275.0
GA,2016,12,2016-12-01,0.0,493.0
GA,2017,1,2017-01-01,0.0,438.0
GA,2017,2,2017-02-01,0.0,313.0
GA,2017,3,2017-03-01,18.0,324.0
GA,2017,4,2017-04-01,87.0,90.0
GA,2017,5,2017-05-01,202.0,44.0
GA,2017,6,2017-06-01,316.0,0.0
GA,2017,7,2017-07-01,461.0,0.0
GA,2017,8,2017-08-01,407.0,0.0
GA,2017,9,2017-09-01,251.0,21.0
GA,2017,10,2017-10-01,121.0,135.0
GA,2017,11,2017-11-01,11.0,321.0
GA,2017,12,2017-12-01,0.0,558.0
GA,2018,1,2018-01-01,0.0,758.0
GA,2018,2,2018-02-01,17.0,262.0
GA,2018,3,2018-03-01,0.0,352.0
GA,2018,4,2018-04-01,3.0,190.0
GA,2018,5,2018-05-01,271.0,6.0
GA,2018,6,2018-06-01,404.0,0.0
GA,2018,7,2018-07-01,442.0,0.0
GA,2018,8,2018-08-01,414.0,0.0
GA,2018,9,2018-09-01,416.0,0.0
GA,2018,10,2018-10-01,151.0,117.0
GA,2018,11,2018-11-01,2.0,436.0
GA,2018,12,2018-12-01,0.0,523.0
GA,2019,1,2019-01-01,0.0,591.0
GA,2019,2,2019-02-01,3.0,322.0
GA,2019,3,2019-03-01,0.0,351.0
GA,2019,4,2019-04-01,60.0,132.0
GA,2019,5,2019-05-01,304.0,13.0
GA,2019,6,2019-06-01,349.0,1.0
GA,2019,7,2019-07-01,474.0,0.0
GA,2019,8,2019-08-01,460.0,0.0
GA,2019,9,2019-09-01,406.0,0.0
GA,2019,10,2019-10-01,141.0,80.0
GA,2019,11,2019-11-01,0.0,408.0
GA,2019,12,2019-12-01,0.0,448.0
GA,2020,1,2020-01-01,0.0,505.0
GA,2020,2,2020-02-01,0.0,452.0
GA,2020,3,2020-03-01,38.0,204.0
GA,2020,4,2020-04-01,21.0,169.0
GA,2020,5,2020-05-01,166.0,78.0
GA,2020,6,2020-06-01,332.0,5.0
GA,2020,7,2020-07-01,487.0,0.0
GA,2020,8,2020-08-01,449.0,0.0
GA,2020,9,2020-09-01,269.0,30.0
GA,2020,10,2020-10-01,105.0,81.0
GA,2020,11,2020-11-01,31.0,238.0
GA,2020,12,2020-12-01,0.0,604.0
GA,2021,1,2021-01-01,0.0,602.0
GA,2021,2,2021-02-01,0.0,495.0
GA,2021,3,2021-03-01,20.0,251.0
GA,2021,4,2021-04-01,27.0,186.0
GA,2021,5,2021-05-01,163.0,65.0
GA,2021,6,2021-06-01,339.0,2.0
GA,2021,7,2021-07-01,426.0,0.0
GA,2021,8,2021-08-01,437.0,0.0
GA,2021,9,2021-09-01,250.0,14.0
GA,2021,10,2021-10-01,108.0,100.0
GA,2021,11,2021-11-01,0.0,409.0
GA,2021,12,2021-12-01,4.0,338.0
GA,2022,1,2022-01-01,7.0,663.0
GA,2022,2,2022-02-01,2.0,415.0
GA,2022,3,2022-03-01,4.0,281.0
GA,2022,4,2022-04-01,21.0,177.0
GA,2022,5,2022-05-01,232.0,22.0
GA,2022,6,2022-06-01,403.0,0.0
GA,2022,7,2022-07-01,471.0,0.0
GA,2022,8,2022-08-01,408.0,0.0
GA,2022,9,2022-09-01,236.0,29.0
GA,2022,10,2022-10-01,4.0,201.0
GA,2022,11,2022-11-01,19.0,335.0
GA,2022,12,2022-12-01,0.0,591.0
GA,2023,1,2023-01-01,0.0,501.0
GA,2023,2,2023-02-01,16.0,302.0
GA,2023,3,2023-03-01,12.0,315.0
GA,2023,4,2023-04-01,27.0,161.0
GA,2023,5,2023-05-01,157.0,63.0
GA,2023,6,2023-06-01,273.0,2.0
GA,2023,7,2023-07-01,466.0,0.0
GA,2023,8,2023-08-01,454.0,0.0
GA,2023,9,2023-09-01,251.0,8.0
GA,2023,10,2023-10-01,53.0,133.0
GA,2023,11,2023-11-01,0.0,351.0
GA,2023,12,2023-12-01,0.0,530.0
