year_month,coefficient,std_error,p_value,n_pjm,n_nonpjm,is_reference
2023_01,-0.21161634221852005,0.04736464673418007,7.9023666519046e-06,65,979,False
2023_02,-0.1594765246972915,0.04360811881741305,0.0002551470905135996,65,979,False
2023_03,-0.0951156942738779,0.039175723864598395,0.015185510005714453,65,978,False
2023_04,-0.044724167657934466,0.039623634148045074,0.2590140598664675,65,979,False
2023_05,-0.015804064216536212,0.03602299276614063,0.6608632902210981,65,974,False
2023_06,-0.013039143053477864,0.04873504488642917,0.789044430266476,65,975,False
2023_07,-0.04784400329854438,0.042480679397457075,0.26005833915560916,65,983,False
2023_08,-0.05747916606987194,0.04569847685696733,0.20846708887950405,65,977,False
2023_09,-0.06921865828529143,0.044022985186440614,0.1158740496372744,65,990,False
2023_10,-0.08026395850969968,0.04062583305996195,0.048190159329387014,65,990,False
2023_11,-0.12653265564964306,0.043433073575100796,0.0035765504110813274,65,981,False
2023_12,-0.18631982855700543,0.04714345500859036,7.743964646491726e-05,65,995,False
2024_01,-0.1785280076086867,0.04701625428872716,0.00014636624346835516,66,989,False
2024_02,-0.07374144437764085,0.03884908505828623,0.05767614358170477,66,990,False
2024_03,-0.04479362646880325,0.037071880184555255,0.2269352734835015,66,1012,False
2024_04,0.007032580214182627,0.035809029584912444,0.8443039414965567,66,1012,False
2024_05,0.0001671771818006207,0.03773519828987521,0.9964651661583344,66,1015,False
2024_06,0.021077493103666384,0.03769707738468681,0.5760743374025206,66,1017,False
2024_07,0.0022726160432709475,0.036979775701917274,0.9509963361346795,66,1019,False
2024_08,-0.02074584143738334,0.036217601991203954,0.5667726586536889,66,1019,False
2024_09,-0.08852576111286467,0.040678480291995736,0.029538008048387365,66,1020,False
2024_10,-0.07044333949438503,0.030260072115257577,0.01991580372559631,66,1017,False
2024_11,-0.18106435931577328,0.03806200011555767,1.964036406805224e-06,66,1011,False
2024_12,-0.24876866224077687,0.04289418104931528,6.64772640865723e-09,66,1013,False
2025_01,-0.22033279957279456,0.041410696410058366,1.033837367034509e-07,66,1014,False
2025_02,-0.18234661041298267,0.03724551830833499,9.790657787369397e-07,66,1014,False
2025_03,-0.004065829714798769,0.018149277674630062,0.8227405177738725,66,1016,False
2025_04,0.015111229675885823,0.017219255395439576,0.38017308898000657,66,1016,False
2025_05,0.0,0.0,1.0,33,508,True
2025_06,0.06163449236245866,0.02455869521695744,0.012084024710265751,66,1019,False
2025_07,0.06194806745903947,0.027761627890333294,0.025652806972713268,66,1019,False
2025_08,0.04846151134108925,0.02808797091035788,0.08446486042092453,66,1016,False
2025_09,0.02766273347885012,0.02025065404564992,0.17193369285393567,66,985,False
2025_10,0.010261894505119884,0.024911162214733364,0.6803836855713916,66,986,False
2025_11,-0.09213518958939565,0.03132042101506978,0.0032641911000194502,66,986,False
2025_12,-0.1512635756867991,0.04068576743234789,0.00020092560069626383,66,986,False
2026_01,-0.11998837496819814,0.04307545649874877,0.005343876924367891,66,988,False
2026_02,-0.10501593858619224,0.03811728477991006,0.00586788701211684,66,992,False
2026_03,0.04042133213439106,0.02714563250419692,0.13647296068157044,66,962,False
