feature,importance,rank,n_obs,r2_oob
residential_customers,0.2659758145500029,1,309,0.4159523996063843
log_pjm_capacity_price,0.2193136593452481,2,309,0.4159523996063843
hdd,0.14552798741722464,3,309,0.4159523996063843
cdd,0.09943485590628899,4,309,0.4159523996063843
cum_dc_per_100k_customers,0.07603855654459424,5,309,0.4159523996063843
cum_dc_count,0.07502459983923342,6,309,0.4159523996063843
high_dc_utility,0.0717704834260235,7,309,0.4159523996063843
pjm_shock_active,0.02684120190878099,8,309,0.4159523996063843
log_henry_hub,0.020072841062603243,9,309,0.4159523996063843
in_pjm,0.0,10,309,0.4159523996063843
is_pjm_state,0.0,11,309,0.4159523996063843
