delivery_year,auction_month,zone,clearing_price_mw_day,source_note
2020/2021,,RTO,76.53,official_pjm_bra_report_pdf_processed
2020/2021,,MAAC,86.04,official_pjm_bra_report_pdf_processed
2020/2021,,EMAAC,187.87,official_pjm_bra_report_pdf_processed
2020/2021,,COMED,188.12,official_pjm_bra_report_pdf_processed
2020/2021,,DEOK,130.0,official_pjm_bra_report_pdf_processed
2021/2022,,RTO,140.0,official_pjm_bra_report_pdf_processed
2021/2022,,EMAAC,165.73,official_pjm_bra_report_pdf_processed
2021/2022,,PSEG,204.29,official_pjm_bra_report_pdf_processed
2021/2022,,BGE,200.3,official_pjm_bra_report_pdf_processed
2021/2022,,ATSI,171.33,official_pjm_bra_report_pdf_processed
2021/2022,,COMED,195.55,official_pjm_bra_report_pdf_processed
2022/2023,,RTO,50.0,official_pjm_bra_report_pdf_processed
2022/2023,,MAAC,95.79,official_pjm_bra_report_pdf_processed
2022/2023,,EMAAC,97.86,official_pjm_bra_report_pdf_processed
2022/2023,,BGE,126.5,official_pjm_bra_report_pdf_processed
2022/2023,,COMED,68.96,official_pjm_bra_report_pdf_processed
2022/2023,,DEOK,71.69,official_pjm_bra_report_pdf_processed
2023/2024,,RTO,34.13,official_pjm_bra_report_pdf_processed
2023/2024,,MAAC,49.49,official_pjm_bra_report_pdf_processed
2023/2024,,DPL-SOUTH,69.95,official_pjm_bra_report_pdf_processed
2023/2024,,BGE,69.95,official_pjm_bra_report_pdf_processed
2024/2025,,RTO,28.92,official_pjm_bra_report_pdf_processed
2024/2025,,MAAC,49.49,official_pjm_bra_report_pdf_processed
2024/2025,,SWMAAC,49.49,official_pjm_bra_report_pdf_processed
2024/2025,,PEPCO,49.49,official_pjm_bra_report_pdf_processed
2024/2025,,BGE,73.0,official_pjm_bra_report_pdf_processed
2024/2025,,EMAAC,53.6,official_pjm_bra_report_pdf_processed
2024/2025,,DPL-SOUTH,426.17,official_pjm_bra_report_pdf_processed
2024/2025,,PSEG,53.6,official_pjm_bra_report_pdf_processed
2024/2025,,PS-NORTH,53.6,official_pjm_bra_report_pdf_processed
2024/2025,,ATSI,28.92,official_pjm_bra_report_pdf_processed
2024/2025,,ATSI-CLEVELAND,28.92,official_pjm_bra_report_pdf_processed
2024/2025,,PPL,49.49,official_pjm_bra_report_pdf_processed
2024/2025,,COMED,28.92,official_pjm_bra_report_pdf_processed
2024/2025,,DAY,28.92,official_pjm_bra_report_pdf_processed
2024/2025,,DEOK,96.24,official_pjm_bra_report_pdf_processed
2025/2026,,RTO,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,ATSI,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,ATSI-CLEVELAND,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,COMED,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,DAY,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,DEOK,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,DOM,444.26,official_pjm_bra_report_pdf_processed
2025/2026,,MAAC,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,PPL,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,EMAAC,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,DPL-SOUTH,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,PSEG,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,PS-NORTH,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,SWMAAC,269.92,official_pjm_bra_report_pdf_processed
2025/2026,,BGE,466.35,official_pjm_bra_report_pdf_processed
2025/2026,,PEPCO,269.92,official_pjm_bra_report_pdf_processed
2026/2027,,RTO,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,ATSI,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,ATSI-CLEVELAND,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,COMED,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,DAY,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,DEOK,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,DOM,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,MAAC,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,PPL,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,EMAAC,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,DPL-SOUTH,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,PSEG,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,PS-NORTH,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,JCPL,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,SWMAAC,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,BGE,329.17,official_pjm_bra_report_pdf_processed
2026/2027,,PEPCO,329.17,official_pjm_bra_report_pdf_processed
