state,utility_number,utility_name,ownership,residential_customers,residential_price_cents_kwh,avg_monthly_bill_dollars,cum_dc_count,cum_dc_per_100k_customers,n_service_area_features,service_area_states_sampled,dc_group
AZ,12351,City of Mesa - (AZ),Municipal,15331.0,16.93318176076797,145.7395690648577,41,267.4320005218185,1,AZ,high_dc
AZ,16572,Salt River Project,Political Subdivision,1053407.0,13.457662946542456,162.96732095635085,8,0.7594405581128661,1,AZ,high_dc
AZ,19604,USBIA-San Carlos Project,Federal,11432.0,19.48966193662696,179.6127828318171,2,17.49475157452764,1,AZ,high_dc
AZ,24211,Tucson Electric Power Co,Investor Owned,412747.0,15.630372362727098,125.09557913201064,1,0.24227916859480506,1,AZ,high_dc
AZ,19189,Trico Electric Cooperative Inc,Cooperative,52450.0,14.16829554174502,133.47664442326024,0,0.0,1,AZ,low_dc
AZ,30518,Electrical Dist No3 Pinal County,Political Subdivision,32009.0,13.931145180360787,164.72320284919866,0,0.0,1,AZ,low_dc
AZ,15048,Electrical Dist No2 Pinal County,Political Subdivision,5218.0,13.264953671026745,141.06618116775266,0,0.0,1,AZ,low_dc
CO,3989,City of Colorado Springs - (CO),Municipal,216771.0,14.451841161957077,89.5068989855654,2,0.9226326399749044,1,CO,high_dc
CO,13058,"Mountain View Elec Assn, Inc",Cooperative,59789.0,15.516455149640981,139.24147139663373,1,1.6725484620916893,1,CO,high_dc
CO,9336,CORE Electric Cooperative,Cooperative,165067.0,15.044404018107674,129.9260300362883,0,0.0,1,CO,low_dc
CO,19499,"United Power, Inc",Cooperative,101502.0,15.753758334270193,127.70109620171688,0,0.0,1,CO,low_dc
CO,6604,City of Fort Collins - (CO),Municipal,70803.0,13.206782781296402,82.07008648409436,0,0.0,1,CO,low_dc
CO,8773,"Holy Cross Electric Assn, Inc",Cooperative,49982.0,12.03769071866053,138.44817467621678,0,0.0,1,CO,low_dc
CO,11187,City of Longmont,Municipal,40855.0,12.301313367318041,85.05384897809326,0,0.0,1,CO,low_dc
CO,11256,City of Loveland - (CO),Municipal,37007.0,14.403107232100822,89.55805658388954,0,0.0,1,CO,low_dc
