state,utility_number,year,utility_name,ownership,residential_revenue_thousand_dollars,residential_sales_mwh,residential_customers,commercial_revenue_thousand_dollars,commercial_sales_mwh,commercial_customers,industrial_revenue_thousand_dollars,industrial_sales_mwh,industrial_customers,residential_price_cents_kwh,commercial_price_cents_kwh,industrial_price_cents_kwh,avg_monthly_bill_dollars,utility_name_norm,unit_id,state_year,log_residential_price,log_avg_monthly_bill,log_residential_sales,log_commercial_price,log_industrial_price,new_dc_count,cum_dc_count,cum_dc_per_100k_customers,single_state_service_area,n_service_area_features,service_area_states_sampled,hifld_area
AZ,803,2010,Arizona Public Service Co,Investor Owned,1504037.0,13035500.0,996422.0,1270274.0,12503880.0,121740.0,170264.0,2170083.0,3777.0,11.538007748072571,10.15903863440788,7.8459671819004155,125.78648069459193,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2010,2.445646607360956,4.834585871834723,16.383186962880288,2.318363815075686,2.059999664997631,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
AZ,803,2011,Arizona Public Service Co,Investor Owned,1543136.0,13290230.0,994244.0,1286842.0,12731496.0,122248.0,171428.0,2188600.0,3744.0,11.6110556401206,10.107547455538612,7.832769807182674,129.33914277246498,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2011,2.451957716651353,4.862437968290166,16.402539736784973,2.3132824176034994,2.0583161903856384,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
AZ,803,2013,Arizona Public Service Co,Investor Owned,1672833.0,13290096.0,1019292.0,1375031.0,12594486.0,124469.0,181069.0,2203023.0,3701.0,12.587064833843186,10.917722247656632,8.219115279323002,136.76429325453356,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2013,2.532669686153589,4.918258956897064,16.402529654139638,2.390387363180374,2.106462573022861,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
AZ,803,2014,Arizona Public Service Co,Investor Owned,1639834.0,12837752.0,1033728.0,1370781.0,12477518.0,125623.0,187965.0,2269263.0,3728.0,12.773529197323644,10.986006992736858,8.283085741934716,132.19418776828462,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2014,2.547374998136689,4.884271961006937,16.367900763016547,2.396622371433685,2.114215573118112,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
AZ,803,2015,Arizona Public Service Co,Investor Owned,1701968.0,13159754.0,1046989.0,1397635.0,12515204.0,126761.0,186410.0,2275533.0,3744.0,12.933129297097803,11.16749675035261,8.19192690240045,135.46528823766695,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2015,2.559792181839083,4.908715432133469,16.39267379067761,2.413007483252611,2.103149145210521,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
AZ,803,2016,Arizona Public Service Co,Investor Owned,1729901.0,13195346.0,1061814.0,1415053.0,12558968.0,127852.0,190275.0,2267688.0,3845.0,13.109932850567162,11.26727132356735,8.390704541365478,135.76616683022326,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2016,2.5733701757615117,4.91093404439507,16.39537474962958,2.42190218015305,2.127124490894559,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
AZ,803,2017,Arizona Public Service Co,Investor Owned,1792453.0,13207135.0,1080665.0,1423610.0,12526675.0,129904.0,190954.0,2284201.0,4058.0,13.571853395910619,11.36462788409534,8.359772191676651,138.22145006392668,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2017,2.6079980449118754,4.928857109593073,16.396267771825748,2.430505714497929,2.1234311769258842,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
AZ,803,2018,Arizona Public Service Co,Investor Owned,1867369.0,13190481.0,1100816.0,1441632.0,12528637.0,130907.0,187260.0,2224269.0,3728.0,14.15694393555474,11.506694622886751,8.41894573003535,141.36248322456552,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2018,2.650205241212016,4.951327394527816,16.39500599104906,2.4429290071113807,2.130484610205204,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
AZ,803,2019,Arizona Public Service Co,Investor Owned,1793584.0,13189233.0,1123829.0,1360481.0,12440039.0,132829.0,179329.0,2215305.0,3728.0,13.598849910377655,10.936308157876354,8.095002719715795,132.9965086622016,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2019,2.6099852237527426,4.890322877217061,16.39491137288899,2.3920882773235097,2.091246923104316,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
AZ,803,2020,Arizona Public Service Co,Investor Owned,1953176.3,14747876.0,1150194.0,1317102.6,12347971.0,135278.0,168994.8,2248560.0,3231.0,13.243780324705742,10.666550804176655,7.515690041626641,141.51064226266757,ARIZONA PUBLIC SERVICE CO,AZ_803,AZ_2020,2.5835280327689527,4.95237492459201,16.506609630381107,2.3671127519641852,2.0169928408959708,0,0,0.0,0,1,"AZ,CA,NV",131603947877.60547
