state,year,high_utility_number,high_utility_name,high_dc_count,high_dc_per_100k,high_residential_price_cents_kwh,high_avg_monthly_bill_dollars,high_residential_customers,low_utility_number,low_utility_name,low_dc_count,low_dc_per_100k,low_residential_price_cents_kwh,low_avg_monthly_bill_dollars,low_residential_customers,price_gap_high_minus_low_cents_kwh,bill_gap_high_minus_low_dollars
AZ,2024,12351,City of Mesa - (AZ),41,267.4320005218185,16.93318176076797,145.7395690648577,15331.0,19189,Trico Electric Cooperative Inc,0,0.0,14.16829554174502,133.47664442326024,52450.0,2.7648862190229497,12.262924641597465
CO,2024,3989,City of Colorado Springs - (CO),2,0.9226326399749044,14.451841161957077,89.5068989855654,216771.0,9336,CORE Electric Cooperative,0,0.0,15.044404018107674,129.9260300362883,165067.0,-0.5925628561505967,-40.419131050722896
FL,2024,18454,Tampa Electric Co,4,0.5282062117050497,14.670891934794511,165.78586080005633,757280.0,14610,Orlando Utilities Comm,0,0.0,15.237053623432264,149.90550218551328,248683.0,-0.5661616886377523,15.880358614543042
GA,2024,17832,Snapping Shoals El Member Corp,4,3.800366735389965,12.36633014194561,159.18469465636767,105253.0,3916,Cobb Electric Membership Corp,0,0.0,11.40533836470375,128.39616951062058,200601.0,0.9609917772418601,30.788525145747087
IA,2024,11053,Linn County REC,1,3.297826732183491,14.229476405946993,120.99176642592532,30323.0,554,City of Ames - (IA),0,0.0,12.095769507466091,68.99295408142841,24979.0,2.1337068984809022,51.99881234449691
MD,2024,1167,Baltimore Gas & Electric Co,5,0.4874505846969764,17.907412528010106,155.5781732626855,1025745.0,5625,Easton Utilities Comm,0,0.0,13.057297539066505,135.94004656577417,8590.0,4.8501149889436,19.638126696911343
MN,2024,16181,Rochester Public Utilities,1,1.8200680705458385,17.90808523999123,100.34884638018796,54943.0,20996,Wright-Hennepin Coop Elec Assn,0,0.0,14.590103812573414,130.84686177408744,53714.0,3.3179814274178163,-30.49801539389948
OH,2024,10668,Licking Rural Electric Inc,32,123.93493415956621,16.8795093573955,177.74367415440227,25820.0,3755,Cleveland Electric Illum Co,0,0.0,16.75931330913958,103.26266778310624,131370.0,0.12019604825592012,74.48100637129603
OR,2024,16555,Salem Electric - (OR),2,10.878433505575197,11.021621312659459,96.14268878614813,18385.0,3264,Central Lincoln People's Ut Dt,0,0.0,10.934235219969588,108.31731840463458,35904.0,0.08738609268987041,-12.174629618486449
SC,2024,1613,Berkeley Electric Coop Inc,9,7.818132856137669,14.934644070292777,170.30861355548413,115117.0,10768,"Laurens Electric Coop, Inc",0,0.0,14.658422681847881,156.12272836168248,58438.0,0.2762213884448954,14.185885193801653
TN,2024,13216,Nashville Electric Service,6,1.436643999616895,13.47051055305614,137.50538741499858,417640.0,10421,Knoxville Utilities Board,0,0.0,12.540330627502644,137.060526121066,193707.0,0.9301799255534959,0.44486129393257556
TX,2024,8620,"HILCO Electric Cooperative, Inc.",27,100.43521928356209,14.909921676608755,215.85822514848292,26883.0,14626,"Pedernales Electric Coop, Inc",0,0.0,12.21822365768102,145.55079017161134,405587.0,2.6916980189277346,70.30743497687158
VA,2024,11560,City of Manassas - (VA),4,28.680002868000283,11.633463737586519,115.49078654907866,13947.0,21244,"Southside Electric Coop, Inc",0,0.0,15.477798378334743,171.4528433545603,56846.0,-3.844334640748224,-55.96205680548162
